RecordID,Revenue,Net_Income,Total_Assets,Total_Liabilities,Equity,Industry_Sector,Country,Is_Fraud
38,250.75,41.03,863.82,724.17,139.66,Tech,Germany,0
39,7.22,-70.08,92.05,105.64,-98.41,Finance,US,1
40,9.6,-61.44,14.74,62.98,-53.38,Tech,UK,1
41,107.25,34.8,477.99,258.9,219.09,Manufacturing,Germany,0
42,182.81,48.56,994.6,736.4,258.19,Retail,India,0
43,155.2,18.06,752.1,411.32,340.78,Tech,India,0
44,254.9,31.59,775.0,555.36,219.64,Tech,US,0
45,280.87,25.73,451.64,284.68,166.96,Tech,US,0
46,278.14,8.41,218.28,124.32,93.96,Retail,US,0
47,241.65,30.37,736.69,585.9,150.79,Manufacturing,US,0
48,193.68,3.88,223.12,144.88,78.24,Retail,India,0
49,6.15,-0.16,90.2,138.61,-132.46,Finance,India,1
50,248.19,13.19,954.82,539.32,415.5,Manufacturing,Germany,0
51,110.75,20.16,280.15,175.14,105.01,Finance,Germany,0
52,231.63,32.43,276.93,193.16,83.78,Finance,UK,0
53,3.96,-38.84,36.73,64.89,-60.93,Finance,UK,1
54,11.49,-53.44,42.35,85.75,-74.26,Retail,UK,1
55,14.2,-22.42,23.92,51.2,-37.0,Manufacturing,US,1
56,92.91,16.32,986.68,823.49,163.2,Retail,Germany,0
57,197.55,40.34,962.76,527.6,435.16,Retail,Germany,0
58,10.42,-87.14,34.09,54.02,-43.6,Tech,India,1
59,174.3,12.75,288.43,197.15,91.28,Retail,UK,0
60,15.36,-66.36,78.51,105.27,-89.91,Tech,UK,1
61,6.31,-34.08,54.57,77.32,-71.01,Retail,UK,1
62,56.51,33.78,551.27,312.79,238.48,Retail,Germany,0
63,281.56,43.75,738.88,437.3,301.59,Finance,US,0
64,179.86,19.62,956.81,498.28,458.53,Finance,US,0
65,182.79,15.34,569.17,510.35,58.83,Tech,UK,0
66,155.05,11.87,821.84,600.6,221.24,Finance,UK,0
67,183.0,21.17,224.16,172.57,51.59,Retail,UK,0
68,139.59,36.27,924.11,566.28,357.83,Manufacturing,India,0
69,262.29,12.21,350.43,185.75,164.68,Manufacturing,US,0
70,9.75,-70.4,58.84,107.85,-98.1,Finance,Germany,1
71,169.15,10.23,879.88,461.16,418.72,Finance,US,0
72,7.81,-2.51,39.72,62.99,-55.17,Tech,India,1
73,181.97,21.31,872.76,709.27,163.5,Retail,US,0
74,56.25,45.75,930.17,550.12,380.04,Manufacturing,US,0
75,154.69,36.64,847.33,719.99,127.34,Tech,Germany,0
76,191.93,22.42,420.75,344.14,76.61,Tech,UK,0
77,279.51,11.54,922.11,498.43,423.68,Tech,US,0
78,215.19,22.78,880.75,669.39,211.36,Manufacturing,India,0
79,157.65,18.53,382.6,290.18,92.42,Manufacturing,US,0
80,17.76,-83.1,78.77,125.55,-107.79,Retail,India,1
81,279.13,28.2,555.84,406.36,149.48,Tech,India,0
82,10.0,-74.84,40.59,77.72,-67.72,Tech,US,1
83,286.12,8.79,316.44,158.77,157.68,Retail,Germany,0
84,7.06,-37.06,92.15,128.11,-121.05,Tech,US,1
85,107.31,10.47,767.48,644.95,122.54,Retail,Germany,0
86,140.69,17.53,544.29,347.35,196.94,Manufacturing,India,0
87,165.2,10.7,821.79,658.5,163.29,Manufacturing,India,0
88,182.58,36.03,351.99,312.5,39.48,Finance,US,0
89,210.29,25.02,307.27,212.54,94.73,Finance,India,0
90,182.23,20.69,752.34,575.46,176.88,Finance,US,0
91,50.38,22.2,804.74,497.28,307.45,Finance,India,0
92,4.38,-83.8,24.98,63.41,-59.03,Tech,US,1
93,107.2,8.66,400.94,270.85,130.09,Finance,UK,0
94,298.22,39.78,515.18,277.47,237.71,Retail,Germany,0
95,232.27,32.7,491.37,361.35,130.03,Manufacturing,UK,0
96,55.32,46.25,590.06,399.02,191.04,Retail,Germany,0
97,183.62,4.56,591.26,420.0,171.26,Finance,Germany,0
98,128.93,49.53,912.71,763.02,149.7,Manufacturing,Germany,0
99,287.14,43.8,595.49,355.87,239.62,Tech,Germany,0
100,100.22,30.97,448.53,288.44,160.09,Retail,India,0
101,227.11,37.13,463.32,404.27,59.05,Retail,India,0
102,103.02,29.53,225.53,138.12,87.41,Retail,US,0
103,94.67,48.69,806.73,604.49,202.24,Tech,US,0
104,106.2,36.23,940.12,514.23,425.88,Retail,Germany,0
105,135.1,13.18,872.95,754.25,118.71,Finance,US,0
106,279.22,34.71,431.72,281.58,150.14,Finance,Germany,0
107,84.75,7.23,745.03,460.23,284.8,Manufacturing,UK,0
108,130.51,46.44,417.37,373.8,43.57,Finance,India,0
109,106.43,48.57,781.43,533.43,248.0,Tech,UK,0
110,54.03,11.96,545.44,325.91,219.53,Manufacturing,US,0
111,226.75,45.82,401.01,227.57,173.44,Finance,US,0
112,54.58,10.84,914.27,565.44,348.83,Tech,India,0
113,151.2,3.57,613.3,483.19,130.11,Retail,US,0
114,151.53,33.44,232.85,128.1,104.75,Tech,Germany,0
115,187.12,39.96,218.13,169.54,48.59,Manufacturing,UK,0
116,185.57,46.27,733.02,437.22,295.79,Finance,India,0
117,107.53,20.96,219.96,154.84,65.12,Retail,India,0
118,19.55,-95.39,58.26,70.43,-50.88,Retail,India,1
119,264.04,32.74,756.5,428.54,327.96,Finance,UK,0
120,259.22,13.0,286.47,160.07,126.4,Retail,UK,0
121,185.79,29.32,715.07,387.42,327.64,Tech,UK,0
122,212.38,48.31,706.28,587.84,118.44,Tech,UK,0
123,15.88,-60.52,21.91,32.4,-16.51,Retail,India,1
124,233.82,3.21,281.19,237.53,43.65,Tech,US,0
125,125.8,3.65,877.63,607.26,270.38,Finance,US,0
126,240.45,37.16,397.84,290.6,107.24,Finance,US,0
127,123.2,20.08,821.39,625.29,196.09,Retail,Germany,0
128,200.85,9.55,890.38,541.48,348.9,Manufacturing,Germany,0
129,223.03,30.2,520.86,362.05,158.81,Manufacturing,US,0
130,62.16,13.94,601.49,334.83,266.65,Manufacturing,India,0
131,139.8,34.5,543.07,283.18,259.9,Manufacturing,India,0
132,109.22,8.41,817.8,447.86,369.94,Tech,US,0
133,163.84,9.12,611.59,508.11,103.48,Retail,UK,0
134,294.66,35.16,391.27,207.04,184.23,Manufacturing,UK,0
135,236.33,18.11,630.0,487.03,142.97,Manufacturing,UK,0
136,119.73,41.08,680.81,394.88,285.93,Retail,US,0
137,291.1,40.58,702.17,611.06,91.11,Tech,UK,0
138,263.5,46.07,607.85,306.48,301.37,Retail,Germany,0
139,261.96,35.62,709.2,553.29,155.91,Finance,Germany,0
140,238.25,4.24,838.14,456.07,382.07,Manufacturing,Germany,0
141,176.19,45.89,581.37,357.15,224.22,Finance,India,0
142,88.03,28.63,579.99,467.17,112.82,Tech,India,0
143,223.54,11.04,628.33,494.05,134.28,Tech,UK,0
144,1.06,-54.84,27.77,47.92,-46.86,Retail,US,1
145,66.29,22.21,271.58,161.38,110.2,Manufacturing,India,0
146,206.12,32.23,502.06,356.4,145.67,Tech,US,0
147,224.01,16.24,211.36,159.35,52.01,Retail,Germany,0
148,287.22,43.68,745.46,397.8,347.66,Retail,US,0
149,59.93,48.33,769.21,448.67,320.54,Finance,India,0
150,5.79,-70.76,57.37,106.98,-101.2,Retail,UK,1
151,89.95,5.46,949.51,809.45,140.06,Retail,US,0
152,133.63,14.96,208.58,167.84,40.74,Retail,US,0
153,121.92,6.73,987.38,666.26,321.12,Retail,Germany,0
154,218.09,4.63,625.75,464.37,161.37,Finance,UK,0
155,76.56,32.51,434.81,313.13,121.68,Manufacturing,India,0
156,159.66,14.96,366.22,275.24,90.98,Retail,US,0
157,236.33,27.51,289.93,212.18,77.74,Finance,Germany,0
158,109.19,22.84,563.9,472.32,91.58,Retail,UK,0
159,217.18,14.84,626.41,360.82,265.6,Finance,Germany,0
160,125.09,9.85,672.71,476.72,195.99,Tech,India,0
161,291.29,1.84,778.88,671.15,107.73,Tech,India,0
162,142.57,43.64,306.89,209.77,97.12,Finance,India,0
163,15.49,-41.2,21.26,38.09,-22.59,Finance,UK,1
164,209.71,2.35,981.63,504.41,477.22,Manufacturing,US,0
165,124.25,36.77,851.05,649.77,201.28,Manufacturing,India,0
166,278.02,9.14,815.58,575.36,240.22,Tech,Germany,0
167,110.28,42.64,558.66,479.73,78.92,Manufacturing,Germany,0
168,280.11,11.79,436.26,281.54,154.73,Manufacturing,US,0
169,282.96,44.37,784.47,455.03,329.45,Tech,Germany,0
170,169.05,35.05,384.72,339.51,45.21,Tech,UK,0
171,283.76,44.43,910.19,642.03,268.16,Manufacturing,UK,0
172,54.22,4.54,967.28,637.86,329.41,Tech,UK,0
173,285.42,21.92,756.46,658.97,97.49,Manufacturing,UK,0
174,16.49,-19.31,71.81,93.28,-76.79,Retail,Germany,1
175,222.76,35.91,343.79,190.21,153.58,Retail,Germany,0
176,4.43,-1.55,32.26,63.11,-58.68,Tech,India,1
177,16.89,-19.44,80.42,114.79,-97.89,Retail,US,1
178,65.97,6.32,569.54,335.83,233.71,Finance,US,0
179,197.91,39.13,525.65,325.94,199.71,Retail,Germany,0
180,194.77,35.55,442.29,240.44,201.85,Tech,Germany,0
181,123.61,34.52,851.79,582.1,269.69,Finance,UK,0
182,12.72,-66.14,94.82,125.33,-112.61,Manufacturing,India,1
183,189.31,28.47,685.66,450.79,234.87,Manufacturing,US,0
184,80.85,17.93,754.3,433.76,320.55,Tech,UK,0
185,97.83,20.68,883.7,496.34,387.36,Tech,Germany,0
186,272.08,46.95,594.39,361.11,233.28,Retail,US,0
187,172.81,21.4,410.43,277.2,133.23,Manufacturing,US,0
188,269.2,31.6,910.19,622.31,287.88,Tech,Germany,0
189,6.45,-54.14,54.97,90.81,-84.35,Manufacturing,India,1
190,178.22,28.0,776.4,599.07,177.33,Retail,US,0
191,167.33,14.85,284.22,207.44,76.78,Manufacturing,India,0
192,206.92,19.34,330.93,284.86,46.07,Tech,India,0
193,103.74,21.6,281.97,185.38,96.59,Manufacturing,Germany,0
194,214.34,42.34,434.73,347.51,87.23,Tech,UK,0
195,218.04,10.55,239.59,206.28,33.31,Manufacturing,UK,0
196,289.94,38.91,853.1,611.89,241.21,Retail,UK,0
197,192.06,8.38,929.71,786.3,143.41,Tech,UK,0
198,84.11,14.16,770.3,428.2,342.1,Retail,India,0
199,6.98,-77.63,85.16,110.13,-103.15,Finance,India,1
200,61.03,13.96,480.94,284.67,196.27,Retail,US,0
201,12.95,-48.05,95.99,144.19,-131.24,Manufacturing,UK,1
202,4.02,-76.34,96.72,131.67,-127.65,Retail,US,1
203,154.24,35.9,585.0,412.03,172.98,Finance,India,0
204,13.02,-30.02,60.73,96.55,-83.53,Finance,UK,1
205,191.32,45.27,243.51,125.87,117.65,Retail,US,0
206,221.17,40.31,797.7,649.09,148.61,Tech,UK,0
207,12.53,-58.18,85.76,118.32,-105.79,Finance,UK,1
208,17.73,-84.89,62.97,90.38,-72.65,Tech,UK,1
209,57.0,32.96,613.79,511.12,102.68,Retail,US,0
210,283.84,15.71,230.38,206.61,23.77,Tech,Germany,0
211,181.07,16.78,365.2,279.56,85.64,Tech,Germany,0
212,191.05,40.35,313.16,269.31,43.85,Finance,India,0
213,12.61,-6.2,63.31,96.36,-83.75,Tech,India,1
214,10.83,-63.67,73.23,101.57,-90.74,Finance,US,1
215,285.26,24.09,816.52,725.58,90.94,Finance,Germany,0
216,96.72,26.48,838.04,476.54,361.5,Finance,US,0
217,9.15,-82.75,62.1,75.35,-66.2,Tech,India,1
218,85.13,30.19,316.45,175.24,141.21,Tech,Germany,0
219,59.2,20.62,287.84,236.32,51.52,Manufacturing,Germany,0
220,101.63,37.04,683.58,444.79,238.79,Tech,UK,0
221,80.67,7.26,612.11,419.29,192.82,Tech,Germany,0
222,12.36,-88.02,72.78,115.38,-103.02,Tech,UK,1
223,176.28,48.1,246.29,187.08,59.21,Retail,Germany,0
224,260.34,45.79,738.73,401.58,337.15,Tech,US,0
225,66.07,44.7,647.05,365.29,281.75,Retail,Germany,0
226,228.17,8.27,809.92,716.97,92.95,Tech,UK,0
227,74.39,49.97,786.66,488.38,298.28,Retail,US,0
228,109.84,24.17,972.2,628.58,343.62,Tech,US,0
229,283.23,31.55,685.01,530.96,154.05,Manufacturing,US,0
230,202.78,6.37,618.14,363.94,254.2,Finance,Germany,0
231,90.08,18.56,764.27,511.98,252.29,Finance,UK,0
232,151.26,32.34,959.98,591.4,368.58,Retail,Germany,0
233,96.12,33.2,369.01,229.78,139.23,Tech,US,0
234,164.24,17.5,853.26,726.32,126.94,Tech,UK,0
235,254.82,20.18,251.25,208.19,43.06,Finance,Germany,0
236,223.64,7.3,338.46,279.31,59.16,Tech,Germany,0
237,141.93,3.13,368.6,254.09,114.5,Retail,Germany,0
238,57.92,36.12,775.28,473.16,302.12,Retail,UK,0
239,10.39,-90.36,40.81,89.14,-78.75,Tech,Germany,1
240,224.11,42.77,877.92,445.23,432.69,Finance,Germany,0
241,134.88,25.74,771.88,408.03,363.84,Manufacturing,UK,0
242,289.87,7.49,494.16,439.95,54.21,Finance,UK,0
243,80.41,2.08,914.31,617.02,297.29,Finance,UK,0
244,264.99,44.53,594.07,514.36,79.71,Tech,US,0
245,162.18,15.41,349.85,274.15,75.7,Retail,US,0
246,121.84,26.94,950.41,766.14,184.27,Tech,US,0
247,282.24,35.17,919.33,817.82,101.51,Tech,India,0
248,8.01,-78.86,41.86,52.29,-44.29,Retail,US,1
249,187.62,26.29,387.98,301.56,86.42,Tech,India,0
250,106.56,30.27,764.22,623.71,140.51,Retail,Germany,0
251,53.96,3.77,466.11,382.62,83.49,Finance,Germany,0
252,197.36,9.61,559.32,465.26,94.06,Finance,UK,0
253,195.24,35.82,340.24,240.41,99.83,Manufacturing,India,0
254,292.84,11.05,839.45,706.71,132.75,Retail,UK,0
255,158.13,15.06,936.13,651.22,284.91,Manufacturing,India,0
256,104.41,13.73,967.14,870.04,97.1,Finance,US,0
257,200.97,30.25,861.61,605.05,256.57,Tech,Germany,0
258,171.45,32.7,228.23,195.99,32.24,Tech,Germany,0
259,270.3,8.35,456.05,357.25,98.81,Retail,Germany,0
260,144.48,24.1,577.61,366.92,210.69,Tech,Germany,0
261,281.11,28.3,663.92,484.59,179.33,Manufacturing,Germany,0
262,214.06,39.41,299.61,259.33,40.28,Manufacturing,Germany,0
263,87.85,1.03,959.73,553.69,406.04,Finance,Germany,0
264,102.67,27.37,235.62,171.32,64.3,Manufacturing,Germany,0
265,4.68,-52.73,98.81,126.47,-121.79,Retail,US,1
266,216.37,45.51,562.29,420.76,141.53,Manufacturing,UK,0
267,218.59,31.36,948.22,727.36,220.86,Tech,UK,0
268,296.92,45.27,460.37,351.41,108.96,Finance,US,0
269,140.4,40.88,972.14,692.27,279.87,Retail,Germany,0
270,117.38,29.07,460.87,307.78,153.08,Finance,India,0
271,76.53,36.8,210.26,185.38,24.88,Finance,India,0
272,114.15,45.3,234.03,143.45,90.58,Retail,UK,0
273,62.37,28.3,407.68,254.6,153.09,Tech,India,0
274,183.55,24.53,788.47,693.87,94.6,Retail,UK,0
275,151.1,11.8,652.19,555.85,96.35,Finance,US,0
276,128.8,24.46,699.67,419.46,280.21,Tech,Germany,0
277,271.27,45.33,802.09,551.14,250.95,Retail,US,0
278,144.87,38.69,936.13,615.11,321.02,Retail,UK,0
279,258.16,41.56,502.79,372.72,130.07,Finance,US,0
280,182.07,44.81,743.23,608.91,134.32,Manufacturing,Germany,0
281,297.36,37.82,656.73,329.89,326.84,Manufacturing,UK,0
282,9.47,-17.6,92.25,133.28,-123.81,Tech,UK,1
283,85.41,25.07,693.54,436.05,257.49,Tech,India,0
284,62.63,23.61,767.73,546.3,221.43,Manufacturing,US,0
285,97.01,20.34,688.56,564.12,124.44,Finance,UK,0
286,257.9,3.29,395.12,228.36,166.76,Manufacturing,US,0
287,130.92,1.41,587.23,383.9,203.33,Finance,UK,0
288,56.56,11.62,269.67,182.9,86.78,Tech,India,0
289,235.24,49.0,376.31,192.77,183.54,Retail,Germany,0
290,111.17,21.47,305.41,162.39,143.02,Retail,India,0
291,105.64,10.86,700.63,475.52,225.11,Manufacturing,Germany,0
292,257.98,2.49,419.53,344.97,74.55,Manufacturing,US,0
293,195.43,17.64,747.04,443.89,303.15,Retail,India,0
294,251.79,23.43,846.61,576.15,270.46,Retail,UK,0
295,272.59,19.17,489.39,359.37,130.02,Tech,India,0
296,177.55,19.34,863.48,680.47,183.01,Retail,India,0
297,128.02,17.49,561.71,326.56,235.14,Retail,UK,0
298,106.69,45.96,482.92,387.1,95.81,Tech,India,0
299,218.11,38.04,702.03,477.8,224.23,Retail,Germany,0
300,196.35,35.42,568.73,314.99,253.75,Finance,Germany,0
301,197.93,42.55,650.22,483.86,166.36,Manufacturing,US,0
302,133.04,13.51,657.82,537.5,120.32,Tech,Germany,0
303,237.37,2.44,439.2,378.83,60.37,Manufacturing,UK,0
304,282.12,7.01,222.84,194.52,28.32,Finance,UK,0
305,133.9,6.71,522.61,456.59,66.02,Manufacturing,US,0
306,134.44,6.51,401.59,308.61,92.98,Tech,UK,0
307,249.63,31.27,825.44,501.45,323.98,Manufacturing,US,0
308,235.52,33.35,833.17,529.06,304.11,Finance,Germany,0
309,216.33,1.03,304.03,202.29,101.73,Finance,UK,0
310,161.7,14.44,695.05,598.92,96.13,Finance,UK,0
311,162.89,22.25,680.15,561.86,118.29,Manufacturing,India,0
312,16.58,-52.88,76.77,112.42,-95.84,Tech,US,1
313,161.74,40.72,642.79,462.51,180.28,Manufacturing,India,0
314,79.37,41.94,648.65,386.19,262.46,Finance,UK,0
315,17.54,-13.57,35.05,65.12,-47.58,Tech,India,1
316,165.84,47.16,317.81,253.77,64.04,Tech,US,0
317,15.12,-43.72,55.56,81.53,-66.41,Finance,US,1
318,78.17,37.78,870.58,534.12,336.46,Tech,US,0
319,209.61,36.23,359.18,193.99,165.19,Retail,UK,0
320,196.41,24.87,662.06,435.13,226.93,Retail,US,0
321,66.86,12.81,816.44,519.26,297.18,Manufacturing,Germany,0
322,165.0,19.03,551.25,446.99,104.26,Manufacturing,US,0
323,107.77,7.45,714.63,463.75,250.88,Tech,UK,0
324,268.67,34.62,693.8,603.18,90.62,Retail,India,0
325,178.87,16.73,439.0,289.1,149.9,Retail,US,0
326,183.79,5.46,487.66,358.54,129.12,Retail,US,0
327,93.13,35.58,713.9,520.45,193.45,Retail,India,0
328,277.71,9.81,360.39,258.34,102.05,Retail,Germany,0
329,273.91,27.36,802.05,617.21,184.84,Manufacturing,Germany,0
330,208.03,38.19,513.55,456.76,56.78,Retail,India,0
331,2.71,-20.77,97.15,145.43,-142.71,Retail,US,1
332,296.65,46.08,248.16,160.97,87.19,Tech,Germany,0
333,17.01,-46.03,13.87,50.79,-33.78,Retail,India,1
334,128.49,43.0,760.37,451.57,308.79,Finance,Germany,0
335,78.18,22.3,889.01,580.01,309.0,Manufacturing,UK,0
336,149.82,3.89,880.18,680.94,199.24,Retail,UK,0
337,238.84,26.88,221.04,156.09,64.95,Tech,Germany,0
338,172.81,46.37,981.41,826.29,155.12,Finance,Germany,0
339,255.21,34.51,286.61,226.74,59.86,Tech,India,0
340,84.07,48.21,659.58,569.36,90.22,Manufacturing,India,0
341,108.85,39.95,327.48,271.5,55.99,Finance,US,0
342,285.18,16.98,359.86,208.22,151.64,Tech,UK,0
343,231.92,33.7,431.8,382.89,48.91,Retail,US,0
344,177.53,43.39,458.8,377.36,81.43,Finance,US,0
345,158.85,21.9,961.69,481.86,479.83,Manufacturing,UK,0
346,52.93,9.99,308.0,228.21,79.79,Finance,UK,0
347,213.71,7.22,873.2,598.95,274.25,Tech,UK,0
348,116.05,37.03,298.71,256.83,41.87,Finance,Germany,0
349,236.93,47.91,369.21,305.66,63.54,Finance,US,0
350,159.51,49.49,766.42,471.79,294.64,Finance,UK,0
351,270.35,3.88,251.09,163.35,87.74,Retail,UK,0
352,110.33,43.79,480.9,320.51,160.39,Manufacturing,UK,0
353,203.49,46.19,826.41,731.04,95.37,Retail,Germany,0
354,59.27,20.2,567.63,444.19,123.44,Manufacturing,UK,0
355,221.12,24.53,508.38,428.97,79.41,Manufacturing,Germany,0
356,198.58,35.58,537.1,274.89,262.2,Finance,Germany,0
357,84.45,25.42,983.07,736.47,246.6,Manufacturing,US,0
358,66.31,7.33,637.63,500.72,136.91,Retail,UK,0
359,161.02,27.61,654.82,357.26,297.57,Finance,US,0
360,6.65,-58.69,13.11,54.14,-47.49,Tech,US,1
361,236.12,5.07,448.17,359.22,88.95,Finance,India,0
362,171.38,27.55,730.47,492.68,237.79,Manufacturing,US,0
363,290.13,45.43,803.52,720.29,83.23,Manufacturing,Germany,0
364,262.75,8.03,861.55,672.08,189.47,Tech,UK,0
365,188.93,34.28,418.89,348.02,70.88,Tech,US,0
366,81.0,10.19,611.61,342.25,269.36,Manufacturing,India,0
367,245.56,26.79,892.1,731.17,160.93,Manufacturing,UK,0
368,292.61,4.69,670.82,558.7,112.12,Retail,Germany,0
369,116.48,11.78,665.75,429.95,235.8,Finance,Germany,0
370,237.61,9.81,847.98,605.24,242.74,Finance,UK,0
371,63.71,37.45,606.05,331.42,274.63,Manufacturing,UK,0
372,19.48,-58.36,88.81,138.45,-118.97,Finance,India,1
373,280.0,44.65,898.97,648.52,250.45,Manufacturing,US,0
374,290.23,12.21,446.43,303.63,142.8,Manufacturing,UK,0
375,186.36,23.22,714.82,418.19,296.63,Retail,US,0
376,248.23,17.58,813.0,633.78,179.22,Retail,US,0
377,232.89,5.63,808.43,573.53,234.89,Retail,UK,0
378,4.46,-18.36,95.3,138.65,-134.18,Finance,US,1
379,112.71,19.71,552.1,384.15,167.95,Tech,Germany,0
380,90.16,9.83,369.53,263.3,106.23,Finance,India,0
381,118.85,31.93,376.37,198.93,177.44,Retail,US,0
382,153.42,39.42,513.3,405.78,107.52,Finance,India,0
383,225.11,8.57,621.92,443.35,178.58,Manufacturing,UK,0
384,192.69,35.27,415.88,350.57,65.31,Tech,Germany,0
385,295.86,19.8,568.1,381.22,186.89,Tech,UK,0
386,103.37,27.22,363.68,218.51,145.17,Finance,UK,0
387,69.94,45.62,575.48,366.58,208.9,Retail,India,0
388,135.54,35.55,961.2,494.2,467.0,Tech,US,0
389,189.45,14.35,644.66,532.85,111.81,Retail,US,0
390,7.29,-28.34,49.83,87.05,-79.76,Manufacturing,Germany,1
391,215.25,1.14,557.58,496.1,61.49,Finance,Germany,0
392,222.37,20.47,723.23,491.84,231.38,Retail,Germany,0
393,176.02,38.04,745.66,399.01,346.65,Manufacturing,Germany,0
394,191.22,35.39,248.53,208.17,40.36,Finance,Germany,0
395,1.27,-2.61,62.28,112.05,-110.78,Retail,US,1
396,6.09,-88.88,36.48,57.28,-51.19,Finance,US,1
397,89.51,7.05,216.47,151.23,65.24,Finance,US,0
398,59.57,33.01,210.59,116.1,94.49,Tech,Germany,0
399,182.64,18.64,595.61,512.44,83.18,Retail,Germany,0
400,150.57,35.6,763.13,554.64,208.49,Retail,UK,0
401,209.11,6.21,440.47,255.44,185.03,Manufacturing,US,0
402,200.07,8.67,934.71,609.4,325.31,Manufacturing,India,0
403,104.19,33.19,937.27,616.42,320.85,Retail,Germany,0
404,231.58,13.45,666.21,489.54,176.68,Retail,India,0
405,17.96,-35.22,78.89,90.31,-72.34,Finance,US,1
406,50.21,34.48,206.52,131.62,74.9,Manufacturing,India,0
407,116.62,29.98,911.77,702.31,209.46,Manufacturing,US,0
408,270.24,36.01,214.67,183.0,31.67,Retail,Germany,0
409,235.94,12.99,978.22,705.14,273.07,Tech,Germany,0
410,272.38,5.43,535.06,335.32,199.74,Finance,India,0
411,297.05,23.43,798.67,512.34,286.33,Manufacturing,UK,0
412,206.03,35.76,279.6,235.66,43.94,Manufacturing,India,0
413,250.52,34.72,740.56,448.21,292.35,Manufacturing,India,0
414,12.74,-7.69,82.03,96.93,-84.19,Retail,India,1
415,69.01,42.43,965.7,706.3,259.41,Manufacturing,UK,0
416,261.62,43.69,810.78,406.52,404.26,Tech,India,0
417,210.12,12.22,819.29,468.41,350.87,Tech,India,0
418,3.07,-81.28,25.51,63.5,-60.43,Retail,Germany,1
419,286.63,24.69,710.59,616.69,93.89,Retail,India,0
420,231.02,34.44,566.02,300.43,265.59,Finance,US,0
421,269.77,36.41,222.99,187.39,35.6,Finance,US,0
422,231.4,14.96,903.85,666.52,237.33,Tech,UK,0
423,189.12,35.34,690.33,431.74,258.59,Tech,India,0
424,18.55,-2.66,38.04,58.3,-39.75,Manufacturing,India,1
425,204.25,24.0,960.17,731.92,228.25,Finance,Germany,0
426,254.29,42.08,254.5,128.72,125.77,Retail,India,0
427,68.34,26.99,767.27,490.04,277.23,Tech,Germany,0
428,253.47,18.36,928.74,468.14,460.6,Tech,US,0
429,296.77,38.87,400.41,202.69,197.72,Finance,Germany,0
430,250.51,31.9,572.25,340.66,231.59,Retail,US,0
431,98.58,31.87,642.71,486.03,156.68,Retail,UK,0
432,244.13,8.75,215.19,171.64,43.54,Tech,India,0
433,137.46,33.67,313.6,185.13,128.47,Manufacturing,India,0
434,73.4,30.43,504.15,277.48,226.67,Finance,Germany,0
435,205.08,22.6,793.56,434.46,359.1,Finance,Germany,0
436,284.94,8.6,730.49,400.77,329.71,Manufacturing,UK,0
437,91.05,16.77,295.34,159.86,135.47,Retail,India,0
